Serial Number,Variant,Software Version
1405A227561402,DichotFDMS,1.71

Date,Time,tmoAmbientRH_0,tmoTEOMAMC1Hr_0,tmoTEOMBMC1Hr_0,tmoAmbientTemp_0,tmoDichotMC1Hr_0,tmoTEOMAMC24Hr_0,tmoTEOMBMC24Hr_0,tmoDichotMC24Hr_0,tmoAmbientPressure_0,tmoStatusCondition_0,tmoTEOMAFilterLoad_0,tmoTEOMAFrequency_0,tmoTEOMANoise_0,tmoTEOMBFilterLoad_0,tmoTEOMBNoise_0,tmoTEOMBMassRate_0,tmoTEOMADryerTemp_0,tmoTEOMADryerRH_0,tmoTEOMBDryerTemp_0,tmoTEOMBDryerRH_0
2024-07-11,10:00:01,72.651,0,0,13.771,0,0,0,0,0.952,0,33.0824,257.458062,0,13.478,0,0,22.635,25.846,22.475,11.24
2024-07-11,11:00:01,67.349,0,0,15.01,0,0,0,0,0.952,0,33.0824,257.45698,0.044161,13.0696,0.004758,20.0643,22.746,25.643,22.646,11.171
2024-07-11,12:00:00,60.226,-5.57782,22.9495,16.639,17.3717,0,0,0,0.951,0,33.8993,257.457298,0.002266,13.6822,0.002224,22.3962,23.026,25.525,22.887,11.257
2024-07-11,13:00:00,57.897,39.7006,16.9591,17.585,56.6597,0,0,0,0.952,0,33.2866,257.457287,0.003117,13.0696,0.003129,20.9333,23.327,25.478,23.178,11.269
2024-07-11,14:00:01,53.576,19.3137,19.3581,18.74,38.6718,0,0,0,0.952,0,34.1035,257.457118,0.002544,14.0906,0.002219,21.2937,23.558,25.284,23.408,11.317
2024-07-11,15:00:01,52.296,42.9762,19.6138,18.911,62.5901,0,0,0,0.949,0,33.8993,257.457114,0.002135,13.6822,0.001856,23.9162,23.618,25.076,23.479,11.205
2024-07-11,16:00:00,60.738,45.1729,28.6928,16.529,73.8657,0,0,0,0.953,0,34.3077,257.457166,0.041691,13.8865,0.003584,33.2168,23.558,25.249,23.408,11.278
2024-07-11,17:00:01,68.647,20.8011,27.8744,14.295,48.6755,0,0,0,0.951,0,33.695,257.456126,0.003281,13.478,0.002896,29.9605,23.187,25.537,23.077,11.265
2024-07-11,18:00:01,75.951,11.8943,39.5215,13.087,51.4158,0,0,0,0.952,0,33.8993,257.455593,0.002454,13.8864,0.003308,40.719,22.725,26.275,22.636,11.399
2024-07-11,19:00:00,77.688,15.3194,31.4425,12.704,46.7619,0,0,0,0.954,0,33.695,257.454993,0.00294,13.478,0.002526,32.981,22.414,26.426,22.325,11.386
2024-07-11,20:00:00,77.803,13.4325,20.917,12.482,34.3495,0,0,0,0.954,0,33.4908,257.454552,0.004636,13.2738,0.002126,22.2648,22.224,26.445,22.164,10.999
2024-07-11,21:00:01,79.211,10.5205,17.4561,12.069,27.9766,0,0,0,0.952,0,33.4908,257.453739,0.003353,13.2738,0.002788,18.5118,22.123,26.367,22.064,11.261
2024-07-11,22:00:00,78.917,10.0287,15.6997,12.21,25.7284,0,0,0,0.952,0,33.2866,257.454241,0.004525,13.2738,0.002299,16.7059,22.063,26.362,21.994,11.296
2024-07-11,23:00:00,78.916,4.55877,12.8973,12.009,17.4561,0,0,0,0.954,0,33.695,257.454157,0.003226,13.478,0.002777,13.3559,21.993,26.357,21.954,11.295
2024-07-12,00:00:01,79.854,9.80749,9.52762,11.938,19.3351,0,0,0,0.954,0,34.3077,257.453972,0.003237,14.0907,0.003296,10.5105,21.963,26.495,21.914,11.369
2024-07-12,01:00:01,80.109,7.18212,8.91671,11.848,16.0988,0,0,0,0.952,0,34.1035,257.454,0.003188,14.0907,0.002069,9.63684,21.953,26.492,21.903,11.368
2024-07-12,02:00:00,80.307,8.89716,7.78283,11.797,16.68,0,0,0,0.951,0,33.8993,257.453956,0.003237,13.6822,0.003318,8.67428,21.943,26.492,21.883,10.759
2024-07-12,03:00:01,79.134,6.17348,7.59235,11.848,13.7658,0,0,0,0.952,0,33.695,257.453205,0.003132,13.2738,0.002121,8.21134,21.943,26.282,21.873,11.291
2024-07-12,04:00:01,78.432,7.0271,10.2445,11.848,17.2716,0,0,0,0.954,0,34.1035,257.453487,0.002511,13.8865,0.004,10.9494,21.903,26.208,21.853,11.328
2024-07-12,05:00:00,78.225,10.4612,15.0372,11.767,25.4984,0,0,0,0.954,0,34.1035,257.453094,0.003131,14.0907,0.00437,16.0866,21.903,26.173,21.843,10.91
2024-07-12,06:00:00,75.383,15.1549,16.0498,11.868,31.2047,0,0,0,0.955,0,33.8993,257.452612,0.004107,13.8865,0.003048,17.5688,21.923,25.612,21.843,11.214
