Serial Number,Variant,Software Version
1405A227561402,DichotFDMS,1.71

Date,Time,tmoAmbientRH_0,tmoTEOMAMC1Hr_0,tmoTEOMBMC1Hr_0,tmoAmbientTemp_0,tmoDichotMC1Hr_0,tmoTEOMAMC24Hr_0,tmoTEOMBMC24Hr_0,tmoDichotMC24Hr_0,tmoAmbientPressure_0,tmoStatusCondition_0,tmoTEOMAFilterLoad_0,tmoTEOMAFrequency_0,tmoTEOMANoise_0,tmoTEOMBFilterLoad_0,tmoTEOMBNoise_0,tmoTEOMBMassRate_0,tmoTEOMADryerTemp_0,tmoTEOMADryerRH_0,tmoTEOMBDryerTemp_0,tmoTEOMBDryerRH_0
2024-08-05,14:00:00,58.846,0,0,17.967,0,0,0,0,0.941,0,30.6319,257.968126,0,13.478,0,0,21.832,27.115,21.643,11.661
2024-08-05,15:00:00,57.082,0,0,18.891,0,0,0,0,0.943,0,32.674,257.725484,0,14.7033,0,0,22.876,26.569,22.686,10.791
2024-08-05,16:00:01,60.331,0,0,17.866,0,0,0,0,0.943,0,31.2445,257.721613,0,13.6822,0,0,23.408,26.471,23.248,11.653
2024-08-05,17:00:01,71.889,0,0,14.567,0,0,0,0,0.942,0,30.4277,257.721937,0.021949,13.0696,0.003826,17.2547,23.388,26.436,23.238,11.271
2024-08-05,18:00:00,80.595,-2.79106,18.2895,13.177,15.4984,0,0,0,0.943,0,30.8361,257.723284,0.014958,13.478,0.002717,18.014,22.816,27.196,22.716,11.707
2024-08-05,19:00:00,82.422,1.92611,17.6746,12.875,19.6007,0,0,0,0.944,0,30.6319,257.723634,0.014806,13.2738,0.003958,17.8708,22.344,27.576,22.255,11.23
2024-08-05,20:00:01,84.068,-7.70652,19.903,12.553,12.1965,0,0,0,0.944,0,30.4277,257.72353,0.005297,13.2738,0.004797,19.1362,22.133,27.698,22.044,11.754
2024-08-05,21:00:01,84.818,7.96942,15.707,12.291,23.6764,0,0,0,0.945,0,30.8361,257.723781,0.005214,13.6822,0.002629,16.5072,22.023,27.654,21.934,11.674
2024-08-05,22:00:00,85.22,8.75439,14.5696,12.14,23.324,0,0,0,0.945,0,30.8361,257.723521,0.018396,13.6822,0.002475,15.4482,21.953,27.683,21.893,11.672
2024-08-05,23:00:00,86.188,22.6583,10.6427,12.029,33.301,0,0,0,0.944,0,31.0403,257.723299,0.039422,13.2738,0.002389,12.9111,21.923,27.854,21.843,11.214
2024-08-06,00:00:01,83.474,-19.0594,12.9391,12.583,-6.12031,0,0,0,0.942,0,31.2445,257.724704,0.008327,13.6822,0.003221,11.0353,21.893,27.608,21.803,10.985
2024-08-06,01:00:00,85.429,11.4232,9.36132,12.029,20.7845,0,0,0,0.942,0,30.4277,257.724605,0.009098,13.0696,0.002972,10.5057,21.893,27.747,21.823,11.744
2024-08-06,02:00:00,86.107,5.61824,8.82514,12.049,14.4434,0,0,0,0.942,0,31.0403,257.724497,0.017213,13.478,0.003124,9.38884,21.893,27.817,21.813,11.82
2024-08-06,03:00:01,86.097,17.1681,8.24935,11.848,25.4174,0,0,0,0.942,0,31.0403,257.724435,0.010666,13.2738,0.002009,9.96815,21.872,27.744,21.773,11.743
2024-08-06,04:00:01,87.179,7.5408,6.82594,11.566,14.3667,0,0,0,0.942,0,31.6529,257.723701,0.023542,13.8865,0.003841,7.58153,21.862,27.815,21.773,11.439
2024-08-06,05:00:00,87.671,-1.70864,6.97372,11.505,5.26509,0,0,0,0.942,0,30.8361,257.723583,0.025033,13.478,0.003325,6.80422,21.842,27.778,21.753,11.362
